Coords,PGC,Name1,Name2,Name3,logD25,logD25err,RC3PA,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,SemiMinorAxis,PositionAngle,NEDRedshift
00h52m09s -02d13m06s,PGC 03055,NGC 0279,UGC 00532      U,MK 0558,1.21,0.05,5.0,0.12,0.04,0052 9.0-021306 N,"NOPA,PANedMed,",0.811,0.615,155.0,0.012936
00h52m17.2296s -03d57m59.796s,PGC 03062,,MCG -01-03-027 E,,1.17,0.05,,0.45,0.05,005217.3-035804,"NOPA,OFFSET 4.3 arcsec,NedNoPA,HANDADJ PA,",0.74,0.262,20.0,0.00471
00h53m32.6808s +02d55m27.516s,PGC 03147,,UGC 00544      U,IRAS00509+0239,1.19,0.04,42.0,0.84,0.04,005332.7+025526,"NOPA,OFFSET 1.5 arcsec,PANedMed,",0.774,0.112,42.0,0.016368
00h54m21.396s -02d11m45.096s,PGC 03193,,E,,1.12,0.08,173.0,0.58,0.08,005421.5-021143,"NOPA,OFFSET 2.6 arcsec,PANedMed,",0.659,0.173,173.0,0.018148
00h55m08.9616s -01d02m47.328s,PGC 03266,,UGC 00568,,1.11,0.16,,0.15,0.08,005509.1-010248,"NOPA,OFFSET 2.2 arcsec,PANedMed,",0.644,0.456,72.0,0.045655
00h55m18.9s -01d16m38s,PGC 03272,,CGCG 384-028,,,,,,,005518.9-011638,"LOGD25,NOAXIS,NOPA,PANedMed,HANDADJ Major Minor,",0.665,0.543,60.0,0.044888
00h55m54.4008s -00d55m18.012s,PGC 03312,,UGC 00570      U,,1.04,0.18,10.0,0.18,0.08,005554.3-005522,"NOPA,OFFSET 6640.0 arcsec,PANedMed,",0.548,0.362,10.0,0.044264
00h56m10.7s -01d07m01s,PGC 03340,,MCG +00-03-031,,,,,,,005610.7-010701,"LOGD25,NOAXIS,NOPA,PANedMed,",0.656,0.656,55.0,0.041856
00h56m16.116s -01d15m19.332s,PGC 03342,,UGC 00579      U,,1.16,0.07,40.0,0.08,0.04,005616.2-011520,"NOPA,OFFSET 1.4 arcsec,PANedMed,",0.723,0.601,39.0,0.044464
00h56m25.5936s -01d15m44.856s,PGC 03365,,UGC 00583      U,,1.04,0.18,,0.0,0.08,005625.7-011546,"NOPA,OFFSET 2.0 arcsec,PANedMed,",0.548,0.548,120.0,0.038223
00h56m32.6s -01d46m19s,PGC 03367,NGC 0307,UGC 00584      U,,1.2,0.06,85.0,0.36,0.04,005632.6-014619 N,"NOPA,PANedMed,",0.792,0.346,82.0,0.013376
00h57m02.0496s -00d52m30.684s,PGC 03405,,UGC 00588,ARAK 022,0.93,0.08,,0.02,0.05,005702.1-005232,"NOPA,OFFSET 6302.7 arcsec,PANedMed,",0.426,0.406,34.0,0.044238
00h57m34.9152s -01d23m27.924s,PGC 03444,,UGC 00595,,0.94,0.1,,0.04,0.06,005735.0-012329,"NOPA,OFFSET 1.7 arcsec,PANedMed,",0.435,0.397,140.0,0.045031
00h57m45.1992s -00d24m56.016s,PGC 03451,,UGC 00599a     U,,0.66,0.24,,0.22,0.07,005745.1-002510,"NOPA,OFFSET 3006.0 arcsec,NedNoPA,NedNoRedshift,",0.229,0.138,0.0,nan
00h58m24.6s -01d23m41s,PGC 03492,,,,,,,,,005824.6-012341,"LOGD25,NOAXIS,NOPA,PANedMed,HANDADJ Major Minor,",0.215,0.168,145.0,0.05174
00h58m48.9s +00d35m14s,PGC 03512,IC 1607,UGC 00611,,0.95,0.07,,0.0,0.05,005848.9+003514 I,"NOPA,PANedMed,",0.446,0.446,126.0,0.018137
00h59m04.1s +01d00m05s,PGC 03530,,,,,,,,,005904.1+010005,"LOGD25,NOAXIS,NOPA,PANedMed,HANDADJ PA Major Minor,",0.175,0.109,83.0,0.017802
00h59m42.1224s +00d54m59.76s,PGC 03566,,UGC 00618      U,,0.98,0.07,,0.0,0.05,005942.2+005460,"DEC_ADJ,NOPA,OFFSET 1.2 arcsec,PANedMed,",0.477,0.477,121.0,0.017487
01h00m37.86s -01d41m54.8s,PGC 03614,,UGC 00626      U,,0.93,0.07,97.0,0.03,0.05,010038.0-014155,"NOPA,OFFSET 3.4 arcsec,PANedMed,HANDADJ Coords ,",0.426,0.397,97.0,0.019157
01h01m46.08s +03d04m55.308s,PGC 03688,,UGC 00637      U,,1.04,0.06,157.0,0.37,0.05,010146.2+030454,"NOPA,OFFSET 2.2 arcsec,PANedMed,",0.548,0.234,81.0,0.014607
01h01m57.8s -01d56m12s,PGC 03693,NGC 0351,UGC 00639      U,,1.16,0.04,142.0,0.27,0.04,010157.8-015612 N,"NOPA,PANedMed,",0.723,0.388,133.0,0.014093
01h02m24.5304s -01d57m31.896s,PGC 03714,NGC 0353,UGC 00641      U,IRAS00598-0213,1.11,0.05,26.0,0.48,0.04,010224.6-015727 N,"NOPA,OFFSET 5.0 arcsec,PANedMed,",0.644,0.213,20.0,0.013703
01h03m10.4304s -03d36m36.612s,PGC 03757,,MCG -01-03-079,MK 0970,1.12,0.12,,0.05,0.07,010310.7-033633,"NOPA,OFFSET 5.4 arcsec,PANedMed,",0.659,0.587,105.0,0.008629
01h03m38.82s -00d29m27.888s,PGC 03781,,UGC 00651      U,,1.02,0.06,165.0,0.56,0.05,010338.9-002928,"NOPA,OFFSET 3535.9 arcsec,PANedMed,",0.524,0.144,165.0,0.017358
01h03m44.5392s +02d16m59.016s,PGC 03789,,UGC 00656,,0.93,0.09,115.0,0.24,0.06,010344.7+021658,"NOPA,OFFSET 2.6 arcsec,PANedMed,",0.426,0.245,120.0,0.018416
01h04m16.9656s -00d45m53.64s,PGC 03817,NGC 0359,UGC 00662      U,,1.18,0.08,135.0,0.15,0.05,010417.0-004553 N,"NOPA,OFFSET 5506.6 arcsec,PANedMed,",0.757,0.536,137.0,0.017803
01h04m25.2768s -00d11m14.712s,PGC 03830,,UGC 00663      U,,1.04,0.13,7.0,0.32,0.06,010425.4-001115,"NOPA,OFFSET 1349.7 arcsec,PANedMed,",0.548,0.262,10.0,0.050748
01h04m40.8312s -00d48m09.864s,PGC 03833,NGC 0364,UGC 00666      U,,1.15,0.07,30.0,0.05,0.04,010440.8-004809 N,"NOPA,OFFSET 5778.9 arcsec,PANedMed,",0.706,0.629,45.0,0.017102
01h04m51.372s +02d07m45.048s,PGC 03844,IC 1613,UGC 00668      P,DDO 008,2.21,0.01,50.0,0.05,0.03,010447.8+020704 I,"NOPA,PANedMed,HANDADJ Coords Major Minor,",12.0,12.0,10.0,-0.000781
01h06m07.1736s +00d46m33.636s,PGC 03904,,UGC 00675      U,,1.03,0.08,,0.0,0.06,010607.3+004634,"NOPA,OFFSET 1.9 arcsec,PANedMed,",0.536,0.536,127.0,0.017349
01h06m14.0304s +03d34m27.912s,PGC 03910,,UGC 00678      U,,1.2,0.05,65.0,0.08,0.04,010614.0+033427,"NOPA,OFFSET 1.0 arcsec,PANedMed,",0.792,0.659,75.0,0.018433
01h06m33.5016s -00d08m01.86s,PGC 03922,,CGCG 384-073,MK 0560,,,,,,010624.1-000839,"LOGD25,NOAXIS,NOPA,OFFSET 1010.7 arcsec,PANedMed,HANDADJ Coords PA Major Minor,",0.403,0.124,15.0,0.018219
01h06m30.9792s -02d11m48.012s,PGC 03928,,MCG +00-03-073 E,,1.12,0.04,140.0,0.09,0.04,010630.8-021149,"NOPA,OFFSET 2.9 arcsec,PANedMed,",0.659,0.536,70.0,0.011638
01h07m22.6s +00d55m33s,PGC 03976,NGC 0391,UGC 00693      U,,0.95,0.08,45.0,0.09,0.04,010722.6+005533 N,"NOPA,PANedMed,",0.446,0.362,44.0,0.017882
01h07m46.44s +01d03m49.212s,PGC 04013,,UGC 00695,,1.04,0.06,,0.07,0.05,010746.6+010349,"NOPA,OFFSET 2.4 arcsec,NedNoPA,",0.548,0.467,0.0,0.002094
01h07m56.1s +02d32m45s,PGC 04017,,UGC 00698      U,,1.09,0.06,86.0,0.53,0.05,010756.1+023245,"NOPA,PANedMed,",0.615,0.182,88.0,0.033246
01h08m40.0728s +01d21m24.84s,PGC 04059,,UGC 00709      U,,1.04,0.06,142.0,0.36,0.05,010840.2+012124,"NOPA,OFFSET 2.1 arcsec,PANedMed,",0.548,0.239,142.0,0.017932
01h08m36.9s +01d38m30.012s,PGC 04063,A 0106+01,UGC 00711      U,,1.56,0.03,118.0,0.98,0.04,010837.3+013826 A,"NOPA,OFFSET 7.2 arcsec,PANedMed,",1.815,0.19,118.0,0.006611
01h09m41.5s -02d16m00s,PGC 04143,,MCG -01-04-005 E,,1.14,0.05,10.0,0.27,0.04,010941.5-021600,"NOPA,PANedMed,",0.69,0.371,10.0,0.006218
01h09m57.5592s -01d44m58.884s,PGC 04151,,UGC 00726      U,,1.2,0.04,144.0,0.24,0.04,010957.6-014457,"NOPA,OFFSET 2.0 arcsec,PANedMed,",0.792,0.456,144.0,0.012866
01h10m22.32s +03d31m10.308s,PGC 04178,,UGC 00729      E,,0.83,0.08,140.0,0.23,0.05,011022.4+033109,"NOPA,OFFSET 1.8 arcsec,PANedMed,",0.338,0.199,140.0,0.042283
01h10m38.2536s -00d16m41.052s,PGC 04195,,UGC 00734,,1.02,0.06,175.0,0.6,0.05,011038.4-001642,"NOPA,OFFSET 2003.1 arcsec,PANedMed,",0.524,0.132,177.0,0.018283
