Coords,PGC,Name1,Name2,Name3,RevHubble,BT,logD25,logD25err,RC3PositionAngle,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,PositionAngle,SemiMinorAxis
01h20m06.7s +03d24m56s,PGC 04801,NGC 0474,UGC 00864      R,ARP 227,.LAS0..,12.37,1.85,.02,75,.05,.03,0120 6.7+032456 N,"OFFSET 7.386 arcsec,PANedMedian,",3.53972892192069,45.0,3.154786722400967
01h20m06.8304s -00d12m19.296s,PGC 04805,,UGC 00866      U,,.S..8*.,,1.10,.07,57,.43,.06,012006.9-001221,"OFFSET 11.732 arcsec,PANedMedian,",0.6294627058970838,57.0,0.23386757064359917
01h20m15.348s -00d20m09.024s,PGC 04812,,UGC 00867      U,,.S..4..,,.89,.08,,.02,.05,012015.4-002010,"OFFSET 1.002 arcsec,PANedMedian,",0.38812355831434586,34.0,0.37065512065045875
01h20m46.1496s +01d18m15.192s,PGC 04853,,UGC 00874      U,,.L...?.,,1.03,.11,34,.63,.05,012046.2+011814,"PANedMedian,",0.5357596526188032,34.0,0.12559432157547898
01h20m45.9s +01d26m42s,PGC 04854,,UGC 00875      U,,.SXS5..,,.93,.07,,.03,.05,012045.9+012642,"NOPA,PANedMedian,PANedMedian,",0.4255690191011883,65.0,0.3971641173621408
01h20m47.9s -03d39m12s,PGC 04858,,E,,.LA.0P*,,1.12,.08,,.15,.08,012047.9-033912,"OFFSET 6.522 arcsec,PANedMedian,",0.6591283692782037,120.0,0.46662715039849567
01h21m02.4s +02d57m36s,PGC 04873,,UGC 00885      U,,.S..6*.,,1.00,.08,138,.43,.06,012102.5+025736,"PANedMedian,",0.5,138.0,0.18576761454858629
01h21m08s +01d22m23s,PGC 04896,,UGC 00890      U,IRAS01185+0106,.SBS4*.,,1.29,.04,177,.56,.04,012108.0+012223,"OFFSET 8.715 arcsec,PANedMedian,",0.9749222998790228,88.0,0.2685158981851264
01h21m15.7s +03d51m44s,PGC 04905,NGC 0479,UGC 00893      U,,.SBT4*.,,1.03,.05,,.08,.04,012115.7+035144 N,"PANedMedian,",0.5357596526188032,110.0,0.4456254690668727
01h21m16.6008s -00d32m40.164s,PGC 04906,,UGC 00892      U,ARP 067,.SBR2..,,1.21,.04,125,.05,.04,012116.7-003240,"OFFSET 1.734 arcsec,PANedMedian,",0.8109050486794649,45.0,0.7227198853729637
