Coords,PGC,Name1,Name2,Name3,RevHubble,BT,logD25,logD25err,RC3PositionAngle,logR25,logR25err,OrigCoords,Notes,SemiMajorAxis,PositionAngle,SemiMinorAxis
11h23m38.6s +53d50m32s,PGC 34989,NGC 3656,UGC 06403      R,IRAS11208+5406,PI.0.*P,,1.21,.05,7,.01,.05,112338.6+535032 N,,0.8109050486794649,7.0,0.7924465962305567
11h23m55.6s +52d55m15s,PGC 35002,NGC 3657,UGC 06406      P,IRAS11212+5310,.SXT5P.,,1.16,.05,,.01,.05,112355.6+525515 N,"NOPA,PANedMedian,",0.7227198853729636,165.0,0.706268772311377
11h24m05.88s +45d48m39.852s,PGC 35014,,UGC 06410      U,,.SX.5..,,1.04,.06,5,.11,.05,112406.0+454839,"OFFSET 1.517 arcsec,",0.5482390980715925,5.0,0.4255690191011883
11h24m06.5112s +48d41m46.716s,PGC 35015,,UGC 06411      U,,.S..4..,,1.02,.06,79,.75,.05,112406.7+484146,"OFFSET 2.002 arcsec,",0.5235642740254498,79.0,0.09310435683314337
11h25m36.168s +54d22m57s,PGC 35129,A 1122+54,MCG +09-19-073 R,MK 0040,.L...P.,,1.12,.12,,.91,.07,112536.4+542256 A,"NOPA,OFFSET 2.260 arcsec,PANedMedian,",0.6591283692782037,155.0,0.08109050486794651
11h26m17.8s +46d58m26s,PGC 35181,NGC 3677,UGC 06441      P,IRAS11235+4714,PSAR0*.,,1.29,.07,130,.07,.05,112617.8+465826 N,,0.9749222998790228,130.0,0.8297934537187804
11h26m40.4592s +53d44m48.048s,PGC 35202,,UGC 06446      U,,.SA.7..,13.54S,1.55,.03,10,.19,.05,112640.5+534447,"OFFSET 1.109 arcsec,",1.7740669461678775,10.0,1.1454338263838866
11h30m28.6032s +48d06m38.7s,PGC 35467,A 1127+48,,MK 0173,,,,,,,,113028.4+480627 A,"LOGD25,NOPA,NOAXIS,OFFSET 11.876 arcsec,PANedMedian,",0.6560999495096017,131.0,0.6560999495096017
11h30m39.9696s +44d09m32.184s,PGC 35476,,UGC 06500      U,,.S..2..,,1.01,.06,178,.43,.05,113040.0+440931,"OFFSET 1.228 arcsec,",0.511646496140377,178.0,0.1900946981602806
11h31m11.6544s +51d41m53.016s,PGC 35506,,UGC 06505      U,,.SX.7*.,,1.02,.06,,.02,.05,113111.8+514152,"NOPA,OFFSET 1.693 arcsec,PANedMedian,",0.5235642740254498,165.0,0.5
11h32m32.8s +52d56m22s,PGC 35609,,R,HICK 056E,.LB..P*,16.37S,,,,,,113232.8+525622,"LOGD25,NOPA,NOAXIS,PANedMedian,",0.6560999495096017,170.0,0.6560999495096017
